ID,Vic-Killed,Vic-Injured,Sus-Killed,Sus-Injured,Sus-Unharmed,Sus-Arrested,Characteristics
1574898.0,1.0,0.0,0.0,0.0,4.0,3.0,"Shot - Dead (murder, accidental, or suicide)
Drug Sales or Trafficking
Armed robbery with injury/death and/or evidence of DGU found"
1303872.0,1.0,0.0,0.0,0.0,0.0,0.0,"Shot - Dead (murder, accidental, or suicide)"
1303867.0,0.0,1.0,0.0,0.0,1.0,1.0,"Shot - Wounded/Injured
Possession of gun by felon or prohibited person
Stolen/Illegally owned gun{s} recovered during arrest/warrant"
1294393.0,1.0,0.0,0.0,0.0,1.0,1.0,"Shot - Dead (murder, accidental, or suicide)"
1294338.0,0.0,1.0,0.0,0.0,1.0,1.0,"Shot - Wounded/Injured
Accidental Shooting
Accidental Shooting - Injury
Playing with gun
Under the influence of alcohol or drugs (only applies to the subject/suspect/perpetrator )"
1293717.0,1.0,0.0,0.0,0.0,1.0,1.0,"Shot - Dead (murder, accidental, or suicide)
House party / Block Party / Park Party / Private Parties at event spaces / Weddings and Funerals, ETC"
1292746.0,0.0,1.0,0.0,0.0,0.0,0.0,"Shot - Wounded/Injured
Drive-by (car to street, car to car)"
1292257.0,1.0,0.0,0.0,0.0,1.0,1.0,"Shot - Dead (murder, accidental, or suicide)
Domestic Violence"
1292121.0,0.0,1.0,0.0,0.0,0.0,0.0,Shot - Wounded/Injured
1291926.0,0.0,1.0,0.0,0.0,0.0,0.0,"Shot - Wounded/Injured
Accidental Shooting
Accidental Shooting - Injury
Accidental/Negligent Discharge"
1291649.0,1.0,0.0,0.0,0.0,1.0,1.0,"Shot - Dead (murder, accidental, or suicide)"
1291463.0,0.0,1.0,0.0,0.0,0.0,0.0,Shot - Wounded/Injured
1291459.0,0.0,1.0,0.0,0.0,0.0,0.0,Shot - Wounded/Injured
1291099.0,0.0,1.0,0.0,0.0,1.0,1.0,Shot - Wounded/Injured
1290923.0,0.0,2.0,0.0,0.0,4.0,4.0,"Shot - Wounded/Injured
Drive-by (car to street, car to car)
Drug Sales or Trafficking"
1290880.0,0.0,1.0,0.0,0.0,0.0,0.0,"Shot - Wounded/Injured
Bar/club incident - in or around establishment"
1290813.0,1.0,0.0,1.0,0.0,0.0,0.0,"Shot - Dead (murder, accidental, or suicide)
Suicide^
Murder/Suicide
Domestic Violence"
1290799.0,1.0,0.0,0.0,0.0,0.0,0.0,"Shot - Dead (murder, accidental, or suicide)"
1290523.0,0.0,1.0,0.0,0.0,1.0,0.0,"Shot - Wounded/Injured
Armed robbery with injury/death and/or evidence of DGU found"
1290515.0,0.0,0.0,1.0,0.0,0.0,0.0,"Shot - Dead (murder, accidental, or suicide)
Suicide^
Officer Involved Incident
Officer Involved Shooting - subject/suspect/perpetrator killed
Officer Involved Shooting - subject/suspect/perpetrator suicide at standoff"
1290497.0,1.0,0.0,0.0,0.0,0.0,0.0,"Shot - Dead (murder, accidental, or suicide)"
1290413.0,0.0,1.0,0.0,0.0,0.0,0.0,Shot - Wounded/Injured
1290374.0,0.0,0.0,1.0,0.0,0.0,0.0,"Shot - Dead (murder, accidental, or suicide)
Officer Involved Incident
Officer Involved Shooting - subject/suspect/perpetrator killed"
1290354.0,1.0,0.0,0.0,0.0,1.0,1.0,"Shot - Dead (murder, accidental, or suicide)"
1290298.0,0.0,1.0,0.0,0.0,0.0,0.0,Shot - Wounded/Injured
1290285.0,1.0,0.0,0.0,0.0,0.0,0.0,"Shot - Dead (murder, accidental, or suicide)"
1290256.0,0.0,1.0,0.0,0.0,1.0,0.0,Shot - Wounded/Injured
1290238.0,0.0,1.0,0.0,0.0,1.0,1.0,"Shot - Wounded/Injured
Stolen/Illegally owned gun{s} recovered during arrest/warrant"
1290226.0,0.0,1.0,0.0,0.0,1.0,0.0,"Shot - Wounded/Injured
Armed robbery with injury/death and/or evidence of DGU found"
1290216.0,0.0,1.0,0.0,0.0,1.0,1.0,Shot - Wounded/Injured
1290194.0,1.0,0.0,0.0,0.0,0.0,0.0,"Shot - Dead (murder, accidental, or suicide)"
1290186.0,0.0,1.0,0.0,0.0,0.0,0.0,Shot - Wounded/Injured
1290159.0,0.0,1.0,0.0,0.0,1.0,1.0,"Shot - Wounded/Injured
Possession of gun by felon or prohibited person"
1290143.0,0.0,0.0,0.0,1.0,0.0,1.0,"Shot - Wounded/Injured
Officer Involved Incident
Officer Involved Shooting - subject/suspect/perpetrator shot
Guns stolen from law enforcement
Stolen/Illegally owned gun{s} recovered during arrest/warrant"
1290134.0,0.0,1.0,0.0,0.0,2.0,2.0,Shot - Wounded/Injured
1290099.0,0.0,1.0,0.0,0.0,1.0,1.0,Shot - Wounded/Injured
1290094.0,1.0,1.0,0.0,0.0,0.0,0.0,"Shot - Wounded/Injured
Shot - Dead (murder, accidental, or suicide)
Domestic Violence"
1290065.0,1.0,0.0,0.0,0.0,2.0,2.0,"Shot - Dead (murder, accidental, or suicide)
Domestic Violence"
1290028.0,1.0,0.0,0.0,0.0,0.0,1.0,"Shot - Dead (murder, accidental, or suicide)
House party / Block Party / Park Party / Private Parties at event spaces / Weddings and Funerals, ETC"
1289903.0,0.0,1.0,0.0,0.0,0.0,0.0,Shot - Wounded/Injured
1289893.0,1.0,0.0,0.0,0.0,2.0,2.0,"Shot - Dead (murder, accidental, or suicide)
Armed robbery with injury/death and/or evidence of DGU found"
1289865.0,1.0,1.0,0.0,0.0,0.0,1.0,"Shot - Wounded/Injured
Shot - Dead (murder, accidental, or suicide)
Domestic Violence"
1289845.0,0.0,1.0,0.0,0.0,1.0,0.0,"Shot - Wounded/Injured
Drive-by (car to street, car to car)"
1289794.0,0.0,0.0,1.0,0.0,0.0,0.0,"Shot - Dead (murder, accidental, or suicide)
Officer Involved Incident
Officer Involved Shooting - subject/suspect/perpetrator killed
Armed robbery with injury/death and/or evidence of DGU found"
1289721.0,0.0,1.0,0.0,0.0,0.0,0.0,Shot - Wounded/Injured
1289686.0,3.0,2.0,0.0,0.0,0.0,0.0,"Shot - Wounded/Injured
Shot - Dead (murder, accidental, or suicide)
Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)
House party / Block Party / Park Party / Private Parties at event spaces / Weddings and Funerals, ETC"
1289669.0,0.0,2.0,0.0,0.0,1.0,0.0,"Shot - Wounded/Injured
Assault weapon (AR-15, AK-47, and ALL variants defined by law enforcement)"
1289663.0,0.0,1.0,0.0,0.0,0.0,0.0,Shot - Wounded/Injured
1289659.0,0.0,0.0,0.0,2.0,0.0,0.0,"Shot - Wounded/Injured
Defensive Use
Defensive Use - Crime occurs, victim shoots subject/suspect/perpetrator
Armed robbery with injury/death and/or evidence of DGU found
Concealed Carry License - Victim"
1289653.0,0.0,1.0,0.0,0.0,1.0,1.0,"Shot - Wounded/Injured
Armed robbery with injury/death and/or evidence of DGU found"
1289648.0,0.0,1.0,0.0,0.0,0.0,0.0,Shot - Wounded/Injured
1289642.0,1.0,0.0,0.0,0.0,1.0,0.0,"Shot - Dead (murder, accidental, or suicide)"
1289635.0,1.0,0.0,0.0,0.0,1.0,1.0,"Shot - Dead (murder, accidental, or suicide)"
1289584.0,0.0,1.0,0.0,0.0,0.0,0.0,Shot - Wounded/Injured
1289581.0,0.0,2.0,0.0,0.0,0.0,0.0,Shot - Wounded/Injured
1289575.0,0.0,2.0,0.0,0.0,0.0,0.0,Shot - Wounded/Injured
1289573.0,0.0,1.0,0.0,0.0,0.0,0.0,Shot - Wounded/Injured
1289569.0,1.0,0.0,0.0,0.0,0.0,0.0,"Shot - Dead (murder, accidental, or suicide)"
1289554.0,0.0,1.0,0.0,0.0,0.0,0.0,Shot - Wounded/Injured
1289545.0,1.0,0.0,0.0,0.0,0.0,0.0,"Shot - Dead (murder, accidental, or suicide)"
1289543.0,1.0,0.0,0.0,0.0,0.0,0.0,"Shot - Dead (murder, accidental, or suicide)"
1289525.0,0.0,1.0,0.0,0.0,0.0,0.0,Shot - Wounded/Injured
1289500.0,1.0,2.0,0.0,0.0,0.0,0.0,"Shot - Wounded/Injured
Shot - Dead (murder, accidental, or suicide)
Drive-by (car to street, car to car)
Shootout (where VENN diagram of shooters and victims overlap)
Gang involvement
Drug Sales or Trafficking
Armed robbery with injury/death and/or evidence of DGU found"
1289497.0,0.0,1.0,0.0,0.0,1.0,0.0,"Shot - Wounded/Injured
Drive-by (car to street, car to car)"
1289461.0,0.0,1.0,0.0,0.0,1.0,1.0,Shot - Wounded/Injured
1289441.0,0.0,1.0,0.0,0.0,0.0,0.0,"Shot - Wounded/Injured
Gang involvement"
1289437.0,1.0,0.0,0.0,0.0,0.0,0.0,"Shot - Dead (murder, accidental, or suicide)"
