ID,Vic-Killed,Vic-Injured,Sus-Killed,Sus-Injured,Sus-Unharmed,Sus-Arrested,Characteristics
3040714,0,0,1,0,0,0,"Shot - Dead (murder, accidental, or suicide)
Officer Involved Incident
Officer Involved Shooting - subject/suspect/perpetrator killed
Domestic Violence"
757693,1,0,0,0,0,0,"Shot - Dead (murder, accidental, or suicide)
Suicide^"
493594,0,1,0,0,1,1,"Shot - Wounded/Injured
Accidental Shooting
Accidental Shooting - Injury
Accidental/Negligent Discharge
Playing with gun
Possession of gun by felon or prohibited person"
483306,0,0,0,1,1,1,"Shot - Wounded/Injured
Accidental Shooting
Accidental Shooting - Injury
Accidental/Negligent Discharge
Possession of gun by felon or prohibited person
Stolen/Illegally owned gun{s} recovered during arrest/warrant"
481372,1,0,0,0,1,1,"Shot - Dead (murder, accidental, or suicide)
Drug Sales or Trafficking
Possession of gun by felon or prohibited person"
480589,0,1,0,0,1,1,"Shot - Wounded/Injured
Gang involvement
Armed robbery with injury/death and/or evidence of DGU found"
479216,0,1,0,0,1,1,Shot - Wounded/Injured
479132,0,1,0,0,0,0,Shot - Wounded/Injured
479130,1,0,0,0,0,0,"Shot - Dead (murder, accidental, or suicide)"
478425,1,0,0,0,0,0,"Shot - Dead (murder, accidental, or suicide)"
478151,0,1,0,0,0,0,Shot - Wounded/Injured
478095,0,1,0,0,2,0,Shot - Wounded/Injured
477966,1,0,0,0,0,0,"Shot - Dead (murder, accidental, or suicide)
Drive-by (car to street, car to car)"
477916,0,1,0,0,0,0,Shot - Wounded/Injured
477738,0,1,0,0,0,0,"Shot - Wounded/Injured
Bar/club incident - in or around establishment"
477545,1,0,0,0,1,1,"Shot - Dead (murder, accidental, or suicide)"
477490,0,1,0,0,0,0,Shot - Wounded/Injured
477422,0,1,0,0,0,0,Shot - Wounded/Injured
477420,0,1,0,0,0,0,Shot - Wounded/Injured
477400,0,1,0,0,0,0,Shot - Wounded/Injured
477311,0,1,0,0,0,0,Shot - Wounded/Injured
477262,0,1,0,0,2,0,Shot - Wounded/Injured
