ID,Vic-Killed,Vic-Injured,Sus-Killed,Sus-Injured,Sus-Unharmed,Sus-Arrested,Characteristics
3040722,1,0,0,0,0,0,"Shot - Dead (murder, accidental, or suicide)"
3040717,1,0,0,0,0,0,"Shot - Dead (murder, accidental, or suicide)"
291511,1,0,0,0,2,2,"Shot - Dead (murder, accidental, or suicide)
Gang involvement"
278757,0,1,0,0,0,0,Shot - Wounded/Injured
277950,0,1,0,0,1,0,Shot - Wounded/Injured
276313,0,1,0,0,0,0,"Shot - Wounded/Injured
Armed robbery with injury/death and/or evidence of DGU found"
276134,1,1,0,0,1,1,"Shot - Wounded/Injured
Shot - Dead (murder, accidental, or suicide)
Officer Involved Incident
Officer Involved Shooting - subject/suspect/perpetrator shot"
275839,0,1,0,0,1,0,"Shot - Wounded/Injured
Accidental Shooting
Accidental Shooting - Injury
Accidental/Negligent Discharge
Hunting accident"
274918,1,0,0,0,0,0,"Shot - Dead (murder, accidental, or suicide)
Accidental Shooting
Accidental Shooting - Death
Child Involved Incident
Child killed self"
274849,0,1,0,0,1,1,"Shot - Wounded/Injured
Domestic Violence
Under the influence of alcohol or drugs (only applies to the subject/suspect/perpetrator )"
274821,1,0,0,0,0,0,"Shot - Dead (murder, accidental, or suicide)"
273436,1,0,0,0,0,0,"Shot - Dead (murder, accidental, or suicide)"
273081,0,1,0,0,0,0,"Shot - Wounded/Injured
Bar/club incident - in or around establishment"
272942,1,0,0,0,0,0,"Shot - Dead (murder, accidental, or suicide)"
272878,1,0,0,0,0,0,"Shot - Dead (murder, accidental, or suicide)"
272863,1,0,0,0,0,0,"Shot - Dead (murder, accidental, or suicide)"
272861,0,1,0,0,0,0,Shot - Wounded/Injured
272805,0,1,0,0,4,0,Shot - Wounded/Injured
272746,0,1,0,0,0,0,"Shot - Wounded/Injured
Accidental Shooting
Accidental Shooting - Injury
Accidental/Negligent Discharge"
272629,0,1,0,0,0,0,Shot - Wounded/Injured
